slip_ratio,slip_angle,velocity,vertical_load,steering_rate,bekker_Kphi,bekker_Kc,bekker_n,mohr_cohesion,mohr_friction,janosi_shear,mesh_spacing,Fz,Fx,Fy
0.836234,0.155876,8.595870,6797.730137,-0.284752,2949116.169072,18870.094939,0.425304,17286.342453,0.172261,0.017352,0.072931,1509.213392,252.423661,-178.204798
0.086087,0.524081,4.618451,4427.156209,0.523114,3634841.406216,9379.663137,0.604057,6650.756930,0.229821,0.015642,0.126586,2045.899863,37.393451,-456.134341
-0.464726,-0.105948,8.014839,2941.875961,-0.053474,3208396.421383,17644.176136,0.752441,3002.814891,0.165322,0.014278,0.131583,1847.511571,-218.091877,19.218978
0.276390,0.280305,6.322448,3615.866978,-0.165283,2610947.891107,9295.143261,0.844237,13900.304102,0.359644,0.018204,0.112012,4080.214518,506.868158,-1260.590950
0.284089,-0.374992,6.178661,6845.633906,-0.359893,3346722.982875,8676.705240,0.547626,12952.631733,0.297614,0.017933,0.091847,4697.705234,929.623211,859.235317
0.823441,0.181358,9.516221,4178.044643,0.030566,2862152.377622,15727.202790,0.720412,12098.540779,0.641192,0.017439,0.115660,5680.517589,4113.409892,-1566.912501
-0.997276,-0.160989,8.719607,2424.448906,-0.224075,1966156.482420,3135.800427,1.173485,10525.558754,0.535057,0.018769,0.063832,2566.459830,-2164.275060,-3.829709
-0.352758,0.377422,9.831065,4479.422582,-0.208607,1638044.169969,525.648596,1.099969,4187.660752,0.584995,0.012798,0.084696,4256.979272,-2145.790827,-1380.745732
-0.018816,-0.187476,7.584909,1623.102440,0.255726,1730711.461614,6195.839368,0.584715,9604.559232,0.607725,0.020142,0.110735,2416.917379,-266.453314,1026.556413
0.172199,0.189927,6.256932,3189.083712,0.216758,594592.843835,12813.534182,0.821372,5516.728711,0.110567,0.022781,0.075023,2210.047621,111.407766,-75.022784
-0.390100,0.377669,5.205562,5688.884276,0.393305,2115584.890379,12405.605912,1.226252,4796.124732,0.288996,0.023884,0.076773,5416.844102,-1515.366037,-291.626980
0.951839,-0.458391,9.139705,6373.269853,-0.079984,1323646.489767,15133.006242,0.709180,12995.736627,0.621084,0.010956,0.128593,4661.104537,1916.040696,1964.407905
0.908261,0.220083,6.466361,2105.211984,-0.511307,3391191.727568,1563.145139,0.675264,18881.044369,0.371980,0.013633,0.069017,2895.410677,922.108959,-808.265040
