s,x,y,psi
80.7617,77.7500,0.9080,-0.357108
81.0290,78.0000,0.8135,-0.365610
81.2971,78.2500,0.7167,-0.372906
81.5658,78.5000,0.6180,-0.379075
81.8352,78.7500,0.5176,-0.384488
82.1052,79.0000,0.4158,-0.388715
82.3755,79.2500,0.3129,-0.392140
82.6462,79.5000,0.2091,-0.394744
82.9171,79.7500,0.1047,-0.396264
83.1882,80.0000,0.0000,-0.396779
83.4592,80.2500,-0.1047,-0.396264
83.7301,80.5000,-0.2091,-0.394744
84.0008,80.7500,-0.3129,-0.392140
84.2712,81.0000,-0.4158,-0.388715
84.5411,81.2500,-0.5176,-0.384488
84.8105,81.5000,-0.6180,-0.379075
85.0793,81.7500,-0.7167,-0.372906
85.3474,82.0000,-0.8135,-0.365610
85.6147,82.2500,-0.9080,-0.357108
85.8810,82.5000,-1.0000,-0.347998
86.1465,82.7500,-1.0893,-0.337967
86.4110,83.0000,-1.1756,-0.326516
86.6744,83.2500,-1.2586,-0.314771
86.9368,83.5000,-1.3383,-0.301869
87.1981,83.7500,-1.4142,-0.287831
87.4583,84.0000,-1.4863,-0.273392
87.7173,84.2500,-1.5543,-0.257635
87.9753,84.5000,-1.6180,-0.241231
88.2323,84.7500,-1.6773,-0.224568
88.4882,85.0000,-1.7321,-0.206513
88.7431,85.2500,-1.7820,-0.187736
88.9972,85.5000,-1.8271,-0.168986
89.2504,85.7500,-1.8672,-0.148863
89.5028,86.0000,-1.9021,-0.128775
89.7546,86.2500,-1.9319,-0.108044
90.0057,86.5000,-1.9563,-0.086821
90.2565,86.7500,-1.9754,-0.065285
90.5068,87.0000,-1.9890,-0.043819
90.7570,87.2500,-1.9973,-0.022034
91.0070,87.5000,-2.0000,0.000000
91.2570,87.7500,-1.9973,0.022034
91.5071,88.0000,-1.9890,0.043819
91.7575,88.2500,-1.9754,0.065285
92.0082,88.5000,-1.9563,0.086821
92.2594,88.7500,-1.9319,0.108044
92.5112,89.0000,-1.9021,0.128775
92.7636,89.2500,-1.8672,0.148863
93.0168,89.5000,-1.8271,0.168986
93.2709,89.7500,-1.7820,0.187736
93.5258,90.0000,-1.7321,0.206513
93.7817,90.2500,-1.6773,0.224568
94.0387,90.5000,-1.6180,0.241231
94.2967,90.7500,-1.5543,0.257635
94.5557,91.0000,-1.4863,0.273392
94.8159,91.2500,-1.4142,0.287831
95.0772,91.5000,-1.3383,0.301869
95.3396,91.7500,-1.2586,0.314771
95.6030,92.0000,-1.1756,0.326516
95.8675,92.2500,-1.0893,0.337967
96.1330,92.5000,-1.0000,0.347998
96.3993,92.7500,-0.9080,0.357108
96.6666,93.0000,-0.8135,0.365610
96.9347,93.2500,-0.7167,0.372906
97.2035,93.5000,-0.6180,0.379075
97.4729,93.7500,-0.5176,0.384488
97.7428,94.0000,-0.4158,0.388715
98.0132,94.2500,-0.3129,0.392140
98.2839,94.5000,-0.2091,0.394744
98.5548,94.7500,-0.1047,0.396264
98.8258,95.0000,-0.0000,0.396779
99.0969,95.2500,0.1047,0.396264
99.3678,95.5000,0.2091,0.394744
99.6385,95.7500,0.3129,0.392140
99.9088,96.0000,0.4158,0.388715
100.1788,96.2500,0.5176,0.384488
100.4482,96.5000,0.6180,0.379075
100.7169,96.7500,0.7167,0.372906
100.9850,97.0000,0.8135,0.365610
101.2523,97.2500,0.9080,0.357108
101.5187,97.5000,1.0000,0.347998
101.7841,97.7500,1.0893,0.337967
102.0486,98.0000,1.1756,0.326516
102.3120,98.2500,1.2586,0.314771
102.5744,98.5000,1.3383,0.301869
102.8357,98.7500,1.4142,0.287831
103.0959,99.0000,1.4863,0.273392
103.3550,99.2500,1.5543,0.257635
103.6130,99.5000,1.6180,0.241231
103.8699,99.7500,1.6773,0.224568
104.1258,100.0000,1.7321,0.206513
