label,n_true,phi_true,throttle,steer_amp,seed,ok,wall_s,csv
lhs0026_n0529_phi311,0.529,31.06,0.40,0.70,0,1,24.7,data/terrain_traces_lhs/lhs0026_n0529_phi311_thr40_amp70_seed0.csv
lhs0026_n0529_phi311,0.529,31.06,0.60,0.40,0,1,24.6,data/terrain_traces_lhs/lhs0026_n0529_phi311_thr60_amp40_seed0.csv
lhs0026_n0529_phi311,0.529,31.06,0.60,0.70,0,1,24.6,data/terrain_traces_lhs/lhs0026_n0529_phi311_thr60_amp70_seed0.csv
lhs0027_n0534_phi150,0.534,14.96,0.40,0.40,0,1,24.3,data/terrain_traces_lhs/lhs0027_n0534_phi150_thr40_amp40_seed0.csv
lhs0027_n0534_phi150,0.534,14.96,0.40,0.70,0,1,24.4,data/terrain_traces_lhs/lhs0027_n0534_phi150_thr40_amp70_seed0.csv
lhs0027_n0534_phi150,0.534,14.96,0.60,0.40,0,1,24.5,data/terrain_traces_lhs/lhs0027_n0534_phi150_thr60_amp40_seed0.csv
lhs0027_n0534_phi150,0.534,14.96,0.60,0.70,0,1,24.6,data/terrain_traces_lhs/lhs0027_n0534_phi150_thr60_amp70_seed0.csv
lhs0028_n0536_phi344,0.536,34.37,0.40,0.40,0,1,24.6,data/terrain_traces_lhs/lhs0028_n0536_phi344_thr40_amp40_seed0.csv
lhs0028_n0536_phi344,0.536,34.37,0.40,0.70,0,1,24.6,data/terrain_traces_lhs/lhs0028_n0536_phi344_thr40_amp70_seed0.csv
lhs0028_n0536_phi344,0.536,34.37,0.60,0.40,0,1,24.4,data/terrain_traces_lhs/lhs0028_n0536_phi344_thr60_amp40_seed0.csv
lhs0028_n0536_phi344,0.536,34.37,0.60,0.70,0,1,24.4,data/terrain_traces_lhs/lhs0028_n0536_phi344_thr60_amp70_seed0.csv
lhs0029_n0539_phi177,0.539,17.67,0.40,0.40,0,1,24.6,data/terrain_traces_lhs/lhs0029_n0539_phi177_thr40_amp40_seed0.csv
